names,fit_time,f1,recall,precision,accuracy
texture_linear,0.07410039901733398,0.5302427230498357,0.5269999999999999,0.5481356046272535,0.5359999999999999
color_linear,0.05239958763122558,0.5555557872694641,0.563,0.6016415779777216,0.5820000000000001
humoment_linear,0.045199465751647946,0.6519849288583972,0.843,0.5380798606831865,0.5565
texture-color_linear,0.06109938621520996,0.6023649902668027,0.612,0.6336880764452524,0.614
texture-humoment_linear,0.05679895877838135,0.6200725146521769,0.7130000000000001,0.558892562677579,0.5680000000000001
color-humoment_linear,0.05659902095794678,0.6022257050976803,0.6479999999999999,0.6017587256249844,0.595
texture-color-humoment_linear,0.0745997667312622,0.6135057603239169,0.631,0.6331525230138676,0.6159999999999999
texture_rbf,0.07340028285980224,0.5692946526046496,0.6149999999999999,0.5410185677633156,0.5415
color_rbf,0.06959865093231202,0.6779986011460593,0.745,0.6403761089313023,0.6489999999999999
humoment_rbf,0.10962696075439453,0.6037038077613801,0.724,0.5379406927739231,0.553
texture-color_rbf,0.0956998586654663,0.6679942064495404,0.7080000000000001,0.6531705096179246,0.646
texture-humoment_rbf,0.09230690002441407,0.602820246183008,0.7030000000000001,0.5371146062936687,0.5509999999999999
color-humoment_rbf,0.09139871597290039,0.6808751740488805,0.753,0.6385180608427382,0.647
texture-color-humoment_rbf,0.11129953861236572,0.6685046923544948,0.7150000000000001,0.6496359598618032,0.644
texture_poly,0.13309895992279053,0.6029108157886028,0.615,0.6007582151183481,0.5965
color_poly,0.07199883460998535,0.6856944124301287,0.7489999999999999,0.6485420935424685,0.658
humoment_poly,0.09639973640441894,0.6457397050733061,0.833,0.53382230517117,0.5505
texture-color_poly,0.07909989356994629,0.7088781319558002,0.737,0.6987032651416323,0.697
texture-humoment_poly,0.06569983959197997,0.6026076898376298,0.646,0.5781958619240994,0.583
color-humoment_poly,0.07249946594238281,0.6650258457752993,0.7339999999999999,0.6261034780748742,0.634
texture-color-humoment_poly,0.08289904594421386,0.6899090551416431,0.717,0.6862801576453661,0.6775
texture_sigmoid,0.11499960422515869,0.003866990472632169,0.002,0.11666666666666667,0.49800000000000005
color_sigmoid,0.06609871387481689,0.5111850684421256,0.536,0.52118082635823,0.5435000000000001
humoment_sigmoid,0.05659945011138916,0.5030415363176824,0.516,0.5091497254670135,0.514
texture-color_sigmoid,0.15590009689331055,0.1790861728557644,0.11300000000000002,0.5356878306878307,0.5115
texture-humoment_sigmoid,0.135298490524292,0.3377410350254998,0.275,0.4459635497843883,0.475
color-humoment_sigmoid,0.08539893627166747,0.5036855762931475,0.536,0.48966348055617887,0.5085
texture-color-humoment_sigmoid,0.16669869422912598,0.3177907902966635,0.24700000000000003,0.4905586435974123,0.5029999999999999
